"","CRN","all_time","all_days","Section","Seats","course_name","format.time","has.tba"
"601",35173,"1:10 - 2:00 PM|4:10 - 5:00 PM|7:10 - 10:00 PM","MWF|M|T","A10",0,"CHE 002C","M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM#M 4:10 - 5:00 PM#T 7:10 - 10:00 PM",0
"602",35174,"9:00 - 11:50 AM|1:10 - 2:00 PM|5:10 - 6:00 PM","R|MWF|M","A11",0,"CHE 002C","R 9:00 - 11:50 AM#M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM#M 5:10 - 6:00 PM",0
"603",35175,"6:10 - 7:00 PM|9:00 - 11:50 AM|1:10 - 2:00 PM","M|R|MWF","A12",0,"CHE 002C","M 6:10 - 7:00 PM#R 9:00 - 11:50 AM#M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM",0
"604",35176,"8:00 - 8:50 AM|9:00 - 11:50 AM|1:10 - 2:00 PM","M|R|MWF","A13",0,"CHE 002C","M 8:00 - 8:50 AM#R 9:00 - 11:50 AM#M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM",0
"605",35177,"9:00 - 9:50 AM|1:10 - 2:00 PM|1:10 - 4:00 PM","F|MWF|R","A14",0,"CHE 002C","F 9:00 - 9:50 AM#M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM#R 1:10 - 4:00 PM",0
"606",35178,"1:10 - 2:00 PM|1:10 - 4:00 PM|4:10 - 5:00 PM","MWF|R|M","A15",0,"CHE 002C","M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM#R 1:10 - 4:00 PM#M 4:10 - 5:00 PM",0
"607",35179,"8:00 - 8:50 AM|1:10 - 2:00 PM|4:10 - 7:00 PM","W|MWF|W","A16",1,"CHE 002C","W 8:00 - 8:50 AM#M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM#W 4:10 - 7:00 PM",0
"608",35180,"8:00 - 8:50 AM|1:10 - 2:00 PM|4:10 - 7:00 PM","R|MWF|W","A17",1,"CHE 002C","R 8:00 - 8:50 AM#M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM#W 4:10 - 7:00 PM",0
"609",35181,"1:10 - 2:00 PM|2:10 - 3:00 PM|4:10 - 7:00 PM","MWF|R|R","A18",0,"CHE 002C","M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM#R 2:10 - 3:00 PM#R 4:10 - 7:00 PM",0
"610",35182,"9:00 - 9:50 AM|1:10 - 2:00 PM|4:10 - 7:00 PM","M|MWF|R","A19",0,"CHE 002C","M 9:00 - 9:50 AM#M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM#R 4:10 - 7:00 PM",0
"611",35183,"8:00 - 8:50 AM|1:10 - 2:00 PM|4:10 - 7:00 PM","T|MWF|R","A20",0,"CHE 002C","T 8:00 - 8:50 AM#M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM#R 4:10 - 7:00 PM",0
"612",35184,"1:10 - 2:00 PM|TBA","MWF|NA","ARO",13,"CHE 002C","M 1:10 - 2:00 PM#W 1:10 - 2:00 PM#F 1:10 - 2:00 PM",1
"613",35185,"7:30 - 8:50 AM|12:10 - 1:00 PM|1:10 - 4:00 PM","TR|F|M","B01",2,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM#F 12:10 - 1:00 PM#M 1:10 - 4:00 PM",0
"614",35186,"7:30 - 8:50 AM|8:00 - 8:50 AM|1:10 - 4:00 PM","TR|W|M","B02",13,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM#W 8:00 - 8:50 AM#M 1:10 - 4:00 PM",0
"615",35187,"7:30 - 8:50 AM|8:00 - 8:50 AM|1:10 - 4:00 PM","TR|F|M","B03",13,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM#F 8:00 - 8:50 AM#M 1:10 - 4:00 PM",0
"616",35188,"7:30 - 8:50 AM|10:00 - 10:50 AM|7:10 - 10:00 PM","TR|R|M","B04",1,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM#R 10:00 - 10:50 AM#M 7:10 - 10:00 PM",0
"617",35189,"7:30 - 8:50 AM|5:10 - 6:00 PM|7:10 - 10:00 PM","TR|F|M","B05",1,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM#F 5:10 - 6:00 PM#M 7:10 - 10:00 PM",0
"618",35190,"12:10 - 1:00 PM|7:10 - 10:00 PM|7:30 - 8:50 AM","F|M|TR","B06",6,"CHE 002C","F 12:10 - 1:00 PM#M 7:10 - 10:00 PM#T 7:30 - 8:50 AM#R 7:30 - 8:50 AM",0
"619",35191,"7:30 - 8:50 AM|1:10 - 2:00 PM|1:10 - 4:00 PM","TR|M|T","B07",4,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM#M 1:10 - 2:00 PM#T 1:10 - 4:00 PM",0
"620",35192,"7:30 - 8:50 AM|1:10 - 2:00 PM|1:10 - 4:00 PM","TR|M|T","B08",1,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM#M 1:10 - 2:00 PM#T 1:10 - 4:00 PM",0
"621",35193,"7:30 - 8:50 AM|2:10 - 3:00 PM|4:10 - 7:00 PM","TR|R|T","B09",4,"CHE 002C","T 7:30 - 8:50 AM#R 7:30 - 8:50 AM#R 2:10 - 3:00 PM#T 4:10 - 7:00 PM",0
