"","CRN","Time","Days","SEC","Seats","Course Location"
"5572","55484","7:30 - 8:50 AM","F","D08","0","PHY 007CREMOTE TBA"
"5573","55484","2:10 - 4:30 PM","TR","D08","0","PHY 007CREMOTE TBA"
"5574","55485","7:30 - 8:50 AM","F","D09","1","PHY 007CREMOTE TBA"
"5575","55485","2:10 - 4:30 PM","WF","D09","1","PHY 007CREMOTE TBA"
"5576","55486","1:10 - 2:00 PM","MWF","A01","0","PHY 009AREMOTE TBA"
"5577","55486","4:10 - 5:00 PM","M","A01","0","PHY 009AREMOTE TBA"
"5578","55486","TBA",NA,"A01","0","PHY 009AREMASY TBA"
"5579","55487","1:10 - 2:00 PM","MWF","A02","0","PHY 009AREMOTE TBA"
"5580","55487","5:10 - 6:00 PM","M","A02","0","PHY 009AREMOTE TBA"
"5581","55487","TBA",NA,"A02","0","PHY 009AREMASY TBA"
"5582","55488","1:10 - 2:00 PM","MWF","A03","0","PHY 009AREMOTE TBA"
"5583","55488","6:10 - 7:00 PM","M","A03","0","PHY 009AREMOTE TBA"
"5584","55488","TBA",NA,"A03","0","PHY 009AREMASY TBA"
"5585","55489","1:10 - 2:00 PM","MWF","A04","1","PHY 009AREMOTE TBA"
"5586","55489","7:10 - 8:00 PM","M","A04","1","PHY 009AREMOTE TBA"
"5587","55489","TBA",NA,"A04","1","PHY 009AREMASY TBA"
"5588","55490","1:10 - 2:00 PM","MWF","A05","0","PHY 009AREMOTE TBA"
"5589","55490","4:10 - 5:00 PM","T","A05","0","PHY 009AREMOTE TBA"
"5590","55490","TBA",NA,"A05","0","PHY 009AREMASY TBA"
"5591","55491","1:10 - 2:00 PM","MWF","A06","0","PHY 009AREMOTE TBA"
"5592","55491","5:10 - 6:00 PM","T","A06","0","PHY 009AREMOTE TBA"
"5593","55491","TBA",NA,"A06","0","PHY 009AREMASY TBA"
"5594","55492","1:10 - 2:00 PM","MWF","A07","0","PHY 009AREMOTE TBA"
"5595","55492","6:10 - 7:00 PM","T","A07","0","PHY 009AREMOTE TBA"
