"","X1","CRN","Time","Days","SEC","Seats","Course Location","course_name"
"3307",3307,42104,"2:10 - 3:30 PM","MW","003",0,"ENL 149REMOTE TBA","ENL 149"
"3308",3308,62140,"3:10 - 4:00 PM","MWF","001",0,"ENL 158BREMOTE TBA","ENL 158B"
"3309",3309,62816,"6:10 - 7:30 PM","TR","001",17,"ENL 167REMOTE TBA","ENL 167"
"3310",3310,42111,"1:10 - 2:00 PM","MWF","001",1,"ENL 173REMOTE TBA","ENL 173"
"3311",3311,62141,"1:40 - 3:00 PM","TR","001",0,"ENL 177REMOTE TBA","ENL 177"
"3312",3312,62142,"9:00 - 10:20 AM","TR","002",3,"ENL 177REMOTE TBA","ENL 177"
"3313",3313,62143,"12:10 - 1:30 PM","TR","001",2,"ENL 184REMOTE TBA","ENL 184"
"3314",3314,42114,"4:40 - 6:00 PM","TR","001",1,"ENL 185BREMOTE TBA","ENL 185B"
"3315",3315,42114,"TBA",NA,"001",1,"ENL 185BTBA","ENL 185B"
"3316",3316,42119,"3:10 - 4:30 PM","TR","001",5,"ENL 189REMOTE TBA","ENL 189"
"3317",3317,42120,"10:00 - 12:50 PM","F","002",1,"ENL 189VRHIES 126","ENL 189"
"3318",3318,42120,"TBA",NA,"002",1,"ENL 189REMOTE TBA","ENL 189"
"3319",3319,62144,"10:00 - 11:20 AM","MW","003",0,"ENL 189REMOTE TBA","ENL 189"
"3320",3320,62145,"4:40 - 6:00 PM","TR","004",11,"ENL 189REMOTE TBA","ENL 189"
"3321",3321,62147,"3:10 - 6:00 PM","M","001",0,"ENL 238REMOTE TBA","ENL 238"
"3322",3322,42275,"TBA",NA,"001",3,"ENL 240TBA","ENL 240"
"3323",3323,42275,"12:10 - 3:00 PM","M","001",3,"ENL 240REMOTE TBA","ENL 240"
"3324",3324,42421,"6:10 - 8:00 PM","W","001",3,"ENL 391REMOTE TBA","ENL 391"
"3325",3325,42422,"12:10 - 2:00 PM","F","001",1,"ENL 393REMOTE TBA","ENL 393"
"3326",3326,42502,"9:00 - 11:50 AM","T","A01",1,"ENT 001REMOTE TBA","ENT 001"
"3327",3327,42502,"11:00 - 11:50 AM","MW","A01",1,"ENT 001REMOTE TBA","ENT 001"
"3328",3328,42503,"9:00 - 11:50 AM","R","A02",1,"ENT 001REMOTE TBA","ENT 001"
"3329",3329,42503,"11:00 - 11:50 AM","MW","A02",1,"ENT 001REMOTE TBA","ENT 001"
"3330",3330,42504,"11:00 - 11:50 AM","MW","A03",0,"ENT 001REMOTE TBA","ENT 001"
"3331",3331,42504,"2:10 - 5:00 PM","R","A03",0,"ENT 001REMOTE TBA","ENT 001"
"3332",3332,42543,"9:00 - 9:50 AM","MWF","001",0,"ENT 100REMOTE TBA","ENT 100"
"3333",3333,42544,"12:10 - 1:00 PM","MWF","001",84,"ENT 104REMOTE TBA","ENT 104"
"3334",3334,42546,"10:00 - 10:50 AM","MW","001",2,"ENT 116REMOTE TBA","ENT 116"
"3335",3335,42546,"1:10 - 4:00 PM","W","001",2,"ENT 116REMOTE TBA","ENT 116"
"3336",3336,42548,"3:10 - 4:00 PM","MWF","001",9,"ENT 119REMOTE TBA","ENT 119"
"3337",3337,42549,"11:00 - 11:50 AM","MWF","001",43,"ENT 156REMOTE TBA","ENT 156"
"3338",3338,42550,"2:10 - 5:00 PM","F","001",7,"ENT 156LREMOTE TBA","ENT 156L"
"3339",3339,42551,"3:10 - 5:00 PM","TR","001",30,"ENT 158REMOTE TBA","ENT 158"
"3340",3340,42551,"11:00 - 11:50 AM","TR","001",30,"ENT 158REMOTE TBA","ENT 158"
"3341",3341,42653,"TBA",NA,"001",4,"ENT 225REMOTE TBA","ENT 225"
"3342",3342,42653,"TBA",NA,"001",4,"ENT 225NOFAC TBA","ENT 225"
"3343",3343,42689,"4:10 - 5:00 PM","W","001",32,"ENT 297NREMOTE TBA","ENT 297N"
"3344",3344,42755,"TBA",NA,"001",-2,"ENV 200CREMASY TBA","ENV 200C"
"3345",3345,42755,"TBA",NA,"001",-2,"ENV 200CREMASY TBA","ENV 200C"
"3346",3346,42755,"TBA",NA,"001",-2,"ENV 200CREMASY TBA","ENV 200C"
"3347",3347,42769,"9:00 - 10:50 AM","TR","001",5,"EPI 204VALLEY 1010","EPI 204"
"3348",3348,42769,"TBA",NA,"001",5,"EPI 204TBA","EPI 204"
"3349",3349,63125,"TBA",NA,"001",0,"EPI 223REMOTE TBA","EPI 223"
"3350",3350,63125,"TBA",NA,"001",0,"EPI 223REMOTE TBA","EPI 223"
"3351",3351,63133,"11:00 - 12:50 PM","T","001",14,"EPI 225REMOTE TBA","EPI 225"
"3352",3352,42776,"12:00 - 2:50 PM","F","001",28,"EPI 242VALLEY 1010","EPI 242"
"3353",3353,42778,"TBA",NA,"001",22,"EPI 290TBA","EPI 290"
"3354",3354,42904,"10:00 - 10:50 AM","M","001",0,"ESM 108REMOTE TBA","ESM 108"
"3355",3355,42904,"2:10 - 3:00 PM","W","001",0,"ESM 108REMOTE TBA","ESM 108"
"3356",3356,42904,"3:10 - 5:00 PM","W","001",0,"ESM 108REMOTE TBA","ESM 108"
"3357",3357,42904,"TBA",NA,"001",0,"ESM 108TBA","ESM 108"
"3358",3358,62291,"12:10 - 1:00 PM","TR","001",21,"ESM 110REMOTE TBA","ESM 110"
"3359",3359,62291,"1:10 - 3:00 PM","R","001",21,"ESM 110REMOTE TBA","ESM 110"
"3360",3360,42905,"3:10 - 4:00 PM","TR","001",21,"ESM 118REMOTE TBA","ESM 118"
"3361",3361,42905,"4:10 - 5:00 PM","TR","001",21,"ESM 118REMOTE TBA","ESM 118"
"3362",3362,42906,"4:10 - 5:00 PM","MW","A01",3,"ESM 121REMOTE TBA","ESM 121"
"3363",3363,42906,"4:10 - 5:00 PM","R","A01",3,"ESM 121REMOTE TBA","ESM 121"
"3364",3364,42907,"4:10 - 5:00 PM","MW","A02",8,"ESM 121REMOTE TBA","ESM 121"
